
---------- Begin Simulation Statistics ----------
simSeconds                                   0.797940                       # Number of seconds simulated (Second)
simTicks                                 797940487107                       # Number of ticks simulated (Tick)
finalTick                                797940487107                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    709.15                       # Real time elapsed on the host (Second)
hostTickRate                               1125208262                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5383188                       # Number of bytes of host memory used (Byte)
simInsts                                    611875814                       # Number of instructions simulated (Count)
simOps                                     1094612712                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   862831                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1543558                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 797940487107                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 797940487107                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2396217679                       # Number of cpu cycles simulated (Cycle)
system.cpu.numUsrCycles                             0                       # Number of user mode cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.dcache.demandHits::cpu.data      380654678                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total         380654678                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data     380654678                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total        380654678                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data      4947134                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total         4947134                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data      4947134                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total        4947134                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data  41519438667                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total  41519438667                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data  41519438667                       # number of overall miss ticks (Tick)
