
---------- Begin Simulation Statistics ----------
simSeconds                                   0.816143                       # Number of seconds simulated (Second)
simTicks                                 816143198175                       # Number of ticks simulated (Tick)
finalTick                                816143198175                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    698.06                       # Real time elapsed on the host (Second)
hostTickRate                               1169159397                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    5383192                       # Number of bytes of host memory used (Byte)
simInsts                                    612146256                       # Number of instructions simulated (Count)
simOps                                     1095118089                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   876925                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1568802                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 816143198175                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 816143198175                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       2450880475                       # Number of cpu cycles simulated (Cycle)
system.cpu.numUsrCycles                             0                       # Number of user mode cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.dcache.demandHits::cpu.data      380835556                       # number of demand (read+write) hits (Count)
system.cpu.dcache.demandHits::total         380835556                       # number of demand (read+write) hits (Count)
system.cpu.dcache.overallHits::cpu.data     380835556                       # number of overall hits (Count)
system.cpu.dcache.overallHits::total        380835556                       # number of overall hits (Count)
system.cpu.dcache.demandMisses::cpu.data      4994844                       # number of demand (read+write) misses (Count)
system.cpu.dcache.demandMisses::total         4994844                       # number of demand (read+write) misses (Count)
system.cpu.dcache.overallMisses::cpu.data      4994844                       # number of overall misses (Count)
system.cpu.dcache.overallMisses::total        4994844                       # number of overall misses (Count)
system.cpu.dcache.demandMissLatency::cpu.data  41437884636                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.demandMissLatency::total  41437884636                       # number of demand (read+write) miss ticks (Tick)
system.cpu.dcache.overallMissLatency::cpu.data  41437884636                       # number of overall miss ticks (Tick)
system.cpu.dcache.overallMissLatency::total  41437884636                       # number of overall miss ticks (Tick)
system.cpu.dcache.demandAccesses::cpu.data    385830400                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.demandAccesses::total     385830400                       # number of demand (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::cpu.data    385830400                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.overallAccesses::total    385830400                       # number of overall (read+write) accesses (Count)
system.cpu.dcache.demandMissRate::cpu.data     0.012946                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.demandMissRate::total      0.012946                       # miss rate for demand accesses (Ratio)
system.cpu.dcache.overallMissRate::cpu.data     0.012946                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.overallMissRate::total     0.012946                       # miss rate for overall accesses (Ratio)
system.cpu.dcache.demandAvgMissLatency::cpu.data  8296.131898                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.demandAvgMissLatency::total  8296.131898                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMissLatency::cpu.data  8296.131898                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.overallAvgMissLatency::total  8296.131898                       # average overall miss latency ((Cycle/Count))
system.cpu.dcache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu.dcache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu.dcache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu.dcache.avgBlocked::no_mshrs            nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu.dcache.writebacks::writebacks      1321414                       # number of writebacks (Count)
system.cpu.dcache.writebacks::total           1321414                       # number of writebacks (Count)
system.cpu.dcache.demandMshrMisses::cpu.data      4994844                       # number of demand (read+write) MSHR misses (Count)
